# All selected users with their review requirements (ADJUSTED TO 30K)
# Format: USER_ID\tCATEGORIES (category:reviews, ...)
======================================================================
AE22CFXT3QZKUQJORVTGL3VQXAAA	Clothing_Shoes_and_Jewelry:1, Video_Games:2
AE22EMKSL7H7LR6RRQRULU6GROPA	Clothing_Shoes_and_Jewelry:1, Software:1
AE22GFDZWHSMCA3PZP6WB3OJUHEQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE22MRZKBD5MWJLIMGYLLJ67ZWVQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE233JB2TE3MWX2DXWKNMEPO4NBA	Clothing_Shoes_and_Jewelry:2, Software:3
AE23IB5TIHEXKMKX7K47P5GUKABA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE23ZBUF2YVBQPH2NN6F5XSA3QYQ	All_Beauty:12, Health_and_Personal_Care:5
AE246N4VJWMUVEVZ5FYWJHENGPLQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE24ALJOIQJOIBV3YCRBIS4EKX2A	Clothing_Shoes_and_Jewelry:4, Software:2
AE24IV3NFJII5CWC33ZTNZUWAITQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE24MJNUNU6742TQKIEUDUYFI2VA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE25K5V5RESPJ4WKCALB3ZVYYQPQ	Digital_Music:4
AE26A6UZRUHCIW3JNXMDW7Y63HLA	Clothing_Shoes_and_Jewelry:1, Software:1
AE26JC22UESA4T3DLF2V5Q7CNGUQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE27C5KUFR7QJV7XJF6FQVGLBELQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE27KAXPD5KFDV7VE2M4PNQIKEXA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE27OZYFG7YYHSN2XRTKRIRF7H7Q	Software:1
AE27QPYWJXZZYUKGLTT4II74D2XA	Clothing_Shoes_and_Jewelry:1, Software:1
AE2AZ2MNROPF33U6SS53VI22OXJA	Video_Games:1
AE2BFR2EGPHCYISLCTPOX2AQHKVQ	Appliances:15
AE2BLXPEH643OUNYUROLEJOHCMWQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE2CF2WMOQ33745DGFSHINAYYIXA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE2CRZFCD2ASGSD46CCQJUBQVNZQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE2D7H4TJKBCWFU7JLY7Z3FSMI7Q	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE2DFOZD5DWNOUNWV6RQ7CROKBFA	Clothing_Shoes_and_Jewelry:4, Software:1
AE2DZZDQDGZKFW3FYYWJQEI3FK6Q	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE2FJF5N3Y4XXIJULPWQQ35YCJCA	Clothing_Shoes_and_Jewelry:4, Software:2
